Num,Day,Word,Mean
1,1,meet,만나다
2,1,facility,시설
3,1,highly,매우
4,1,recruit,모집하다
5,1,applicant,지원자
6,1,expertise,전문지식
7,1,submit,제출하다
8,1,vacant,공석인
9,1,eligible,자격이있는
10,1,carefully,조심스럽게
11,1,impressive,인상적인
12,1,exceptional,뛰어난
13,1,position,위치
14,1,requirement,필수요건
15,1,extensive,폭넓은
16,1,enthusiasm,열정
17,1,identification,신분증명
18,1,qualified,자격이있는
19,1,review,검토하다
20,1,procedure,절차
21,1,successful,성공한
22,1,professional,전문가
23,1,experience,경력
24,1,promising,유망한
25,1,achievement,성과
26,1,industry,산업
27,1,candidate,지원자
28,1,reference,추천서
29,1,employment,채용
30,1,resume,이력서
31,1,skilled,노련한
32,1,opening,공석
33,1,hire,채용하다
34,1,training,교육
35,1,degree,학위
36,1,prospective,장래의
37,1,permanent,정규직의
38,1,certificate,자격증
39,1,interview,면접하다
40,1,occupation,직업
41,1,department,부서
42,1,history,이력
43,1,aid,돕다
44,1,contact,연락하다
45,1,fill out,~을 작성하다
46,1,screening,선발
47,1,expert,전문가
48,1,master’s degree,석사 학위
49,1,energetic,활동적인
50,1,credential,자격(증명서)
51,1,tremendous,엄청난
52,1,expedite,더 신속히 처리하다
53,1,executive,이사의
54,1,in person,직접
55,1,cover letter,자기소개서
56,1,adept,능숙한
57,1,accustomed,익숙한
58,1,diploma,졸업장
59,1,in charge of,~을 담당하고 있는
60,1,entrepreneur,사업가
61,1,set up,~을 마련하다
62,1,corporate,기업의
63,1,duplicate,중복의
64,1,overview,개요
65,1,sign up for,~을 신청하다
66,1,interpersonal,대인간의
67,1,get to,~에 도착하다
68,1,venue,장소
69,1,understaffed,직원이 부족한
70,1,devoted,헌신적인
71,1,multilingual,여러 언어를 사용하는
72,1,hand out,~을 나누어주다
73,1,insufficient,불충분한
74,1,multinational,다국적의
75,1,workplace,직장
76,1,simultaneously,동시에
77,1,look forward to,~하기를 고대하다
78,1,wage,임금
79,1,fluent,유창한
80,1,look though,~을 검토하다
81,1,outlook,전망
82,1,aptitude,소질
83,1,welcome reception,환영회
84,1,on time,정시에
85,1,native,출생지의
86,1,eagerness,열의
87,1,prerequisite,필수조건
88,1,rely on,~에 의존하다
89,1,pension,연금
90,1,part-time,시간제의
91,1,bachelor’s degree,학사 학위
92,1,in[with] regard to,~에 관해서
93,1,endeavor,노력
94,1,follow up on,~을 끝까지 하다
95,2,promptly,신속하게
96,2,accordingly,그에 따라
97,2,productivity,생산성
98,2,innovative,혁신적인
99,2,approval,승인
100,2,outline,개요를 설명하다
101,2,performance,실적
102,2,efficiently,효율적으로
103,2,operate,운영하다
104,2,implement,시행하다
105,2,reputation,명성
106,2,responsibility,책임
107,2,routine,일상적인
108,2,competitive,경쟁력있는
109,2,conduct,수행하다
110,2,thoroughly,철저하다
111,2,accessible,접근가능한
112,2,variety,여러가지
113,2,limited,제한된
114,2,only,단지
115,2,address,처리하다
116,2,forward,전달하다
117,2,beneficial,유익한
118,2,monitor,감시하다
119,2,assign,할당하다
120,2,colleague,동료
121,2,assist,돕다
122,2,task,과제
123,2,compile,편집하다
124,2,mandatory,의무적인
125,2,collect,수집하다
126,2,supervise,관리하다
127,2,deadline,마감일
128,2,reimdurse,상환하다
129,2,aware,알고있는
130,2,manage,관리하다
131,2,form,조직하다
132,2,assume,맡다
133,2,oversee,감독하다
134,2,remove,제거하다
135,2,coworker,동료
136,2,go through,~을 살펴보다
137,2,supplement,보충하다
138,2,outcome,결과
139,2,solid,단단한
140,2,come up with,~을 생각해 내다
141,2,remind,~에게 상기시키다
142,2,deal with,~을 처리하다
143,2,compromise,타협하다
144,2,reproduction,복사
145,2,get in touch with,~와 연락을 하다
146,2,virtual,가상의
147,2,doubt,의심하다
148,2,figure out,~을 알아내다
149,2,overlook,간과하다
150,2,up-to-date,최신식의
151,2,inadvertently,실수로
152,2,profile,개요를 알려주다
153,2,office supplies,사무용품
154,2,alert,알리다
155,2,around the clock,24시간 내내
156,2,reveal,밝히다
157,2,brilliant,훌륭한
158,2,draft,초안
159,2,put off,미루다
160,2,escape,벗어나다
161,2,drastic,급격한
162,2,exposition,전시회
163,2,privilege,특전
164,2,explore,분석하다
165,2,obvious,분명한
166,2,go over,~을 검토하다
167,2,attentively,주의하여
168,2,morale,사기
169,2,make use of,~을 이용하다
170,2,mindful,~을 염두에 두는
171,2,omit,생략하다
172,2,utmost,극도의
173,2,after all,결국
174,2,diversify,다양화하다
175,2,concise,간결한
176,2,slot,시간.틈
177,2,be used to V,~하는 데 사용되다
178,2,intense,강렬한
179,2,finding,조사결과
180,2,clarify,명확하게하다
181,2,terrific,아주좋은
182,2,opinion,의견
183,2,be supposed to V,~해야한다
184,2,fulfill,이행하다
185,2,mainly,주로
186,2,merger,합병
187,2,crucial,중요한
188,2,method,방법
